warehouse,floor_no,rack_no,location_id,x,y,z
5BTG,3,40,3402151,-6068.0,1793.0,165.0
5BTG,3,40,3403151,-6068.0,1793.0,320.0
5BTG,3,40,3404151,-6068.0,1793.0,475.0
5BTG,3,40,3405151,-6068.0,1793.0,630.0
5BTG,3,40,3406151,-6068.0,1793.0,785.0
5BTG,3,40,3407151,-6068.0,1793.0,940.0
5BTG,3,40,3401161,-6208.0,1793.0,0.0
5BTG,3,40,3402161,-6208.0,1793.0,165.0
5BTG,3,40,3403161,-6208.0,1793.0,320.0
5BTG,3,40,3404161,-6208.0,1793.0,475.0
5BTG,3,40,3405161,-6208.0,1793.0,630.0
5BTG,3,40,3406161,-6208.0,1793.0,785.0
5BTG,3,40,3407161,-6208.0,1793.0,940.0
5BTG,3,40,3401171,-6348.0,1793.0,0.0
5BTG,3,40,3402171,-6348.0,1793.0,165.0
5BTG,3,40,3403171,-6348.0,1793.0,320.0
5BTG,3,40,3404171,-6348.0,1793.0,475.0
5BTG,3,40,3405171,-6348.0,1793.0,630.0
5BTG,3,40,3406171,-6348.0,1793.0,785.0
5BTG,3,40,3407171,-6348.0,1793.0,940.0
5BTG,3,40,3401181,-6488.0,1793.0,0.0
5BTG,3,40,3402181,-6488.0,1793.0,165.0
5BTG,3,40,3403181,-6488.0,1793.0,320.0
5BTG,3,40,3404181,-6488.0,1793.0,475.0
5BTG,3,40,3405181,-6488.0,1793.0,630.0
5BTG,3,40,3406181,-6488.0,1793.0,785.0
5BTG,3,40,3407181,-6488.0,1793.0,940.0
5BTG,3,40,3401191,-6628.0,1793.0,0.0
5BTG,3,40,3402191,-6628.0,1793.0,165.0
5BTG,3,40,3403191,-6628.0,1793.0,320.0
5BTG,3,40,3404191,-6628.0,1793.0,475.0
5BTG,3,40,3405191,-6628.0,1793.0,630.0
5BTG,3,40,3406191,-6628.0,1793.0,785.0
5BTG,3,40,3407191,-6628.0,1793.0,940.0
5BTG,3,40,3401201,-6768.0,1793.0,0.0
5BTG,3,40,3402201,-6768.0,1793.0,165.0
5BTG,3,40,3403201,-6768.0,1793.0,320.0
5BTG,3,40,3404201,-6768.0,1793.0,475.0
5BTG,3,40,3405201,-6768.0,1793.0,630.0
5BTG,3,40,3406201,-6768.0,1793.0,785.0
5BTG,3,40,3407201,-6768.0,1793.0,940.0
5BTG,3,40,3401211,-6908.0,1793.0,0.0
5BTG,3,40,3402211,-6908.0,1793.0,165.0
5BTG,3,40,3403211,-6908.0,1793.0,320.0
5BTG,3,40,3404211,-6908.0,1793.0,475.0
5BTG,3,40,3405211,-6908.0,1793.0,630.0
5BTG,3,40,3406211,-6908.0,1793.0,785.0
5BTG,3,40,3407211,-6908.0,1793.0,940.0
5BTG,3,40,3401221,-7048.0,1793.0,0.0
5BTG,3,40,3402221,-7048.0,1793.0,165.0
5BTG,3,40,3403221,-7048.0,1793.0,320.0
5BTG,3,40,3404221,-7048.0,1793.0,475.0
5BTG,3,40,3405221,-7048.0,1793.0,630.0
5BTG,3,40,3406221,-7048.0,1793.0,785.0
5BTG,3,40,3407221,-7048.0,1793.0,940.0
5BTG,3,40,3401231,-7188.0,1793.0,0.0
5BTG,3,40,3402231,-7188.0,1793.0,165.0
5BTG,3,40,3403231,-7188.0,1793.0,320.0
5BTG,3,40,3404231,-7188.0,1793.0,475.0
5BTG,3,40,3405231,-7188.0,1793.0,630.0
5BTG,3,40,3406231,-7188.0,1793.0,785.0
5BTG,3,40,3407231,-7188.0,1793.0,940.0
5BTG,3,40,3401241,-7328.0,1793.0,0.0
5BTG,3,40,3402241,-7328.0,1793.0,165.0
5BTG,3,40,3403241,-7328.0,1793.0,320.0
5BTG,3,40,3404241,-7328.0,1793.0,475.0
5BTG,3,40,3405241,-7328.0,1793.0,630.0
5BTG,3,40,3406241,-7328.0,1793.0,785.0
5BTG,3,40,3407241,-7328.0,1793.0,940.0
5BTG,3,40,3401251,-7468.0,1793.0,0.0
5BTG,3,40,3402251,-7468.0,1793.0,165.0
5BTG,3,40,3403251,-7468.0,1793.0,320.0
5BTG,3,40,3404251,-7468.0,1793.0,475.0
5BTG,3,40,3405251,-7468.0,1793.0,630.0
5BTG,3,40,3406251,-7468.0,1793.0,785.0
5BTG,3,40,3407251,-7468.0,1793.0,940.0
5BTG,3,40,3401261,-7608.0,1793.0,0.0
5BTG,3,40,3402261,-7608.0,1793.0,165.0
5BTG,3,40,3403261,-7608.0,1793.0,320.0
5BTG,3,40,3404261,-7608.0,1793.0,475.0
5BTG,3,40,3405261,-7608.0,1793.0,630.0
5BTG,3,40,3406261,-7608.0,1793.0,785.0
5BTG,3,40,3407261,-7608.0,1793.0,940.0
5BTG,3,40,3401271,-7748.0,1793.0,0.0
5BTG,3,40,3402271,-7748.0,1793.0,165.0
5BTG,3,40,3403271,-7748.0,1793.0,320.0
5BTG,3,40,3404271,-7748.0,1793.0,475.0
5BTG,3,40,3405271,-7748.0,1793.0,630.0
5BTG,3,40,3406271,-7748.0,1793.0,785.0
5BTG,3,40,3407271,-7748.0,1793.0,940.0
5BTG,3,40,3401281,-7888.0,1793.0,0.0
5BTG,3,40,3402281,-7888.0,1793.0,165.0
5BTG,3,40,3403281,-7888.0,1793.0,320.0
5BTG,3,40,3404281,-7888.0,1793.0,475.0
5BTG,3,40,3405281,-7888.0,1793.0,630.0
5BTG,3,40,3406281,-7888.0,1793.0,785.0
5BTG,3,40,3407281,-7888.0,1793.0,940.0
5BTG,3,40,3401291,-8028.0,1793.0,0.0
5BTG,3,40,3402291,-8028.0,1793.0,165.0
5BTG,3,40,3403291,-8028.0,1793.0,320.0
5BTG,3,40,3404291,-8028.0,1793.0,475.0
5BTG,3,40,3405291,-8028.0,1793.0,630.0
5BTG,3,40,3406291,-8028.0,1793.0,785.0
5BTG,3,40,3407291,-8028.0,1793.0,940.0
5BTG,3,40,3401301,-8168.0,1793.0,0.0
5BTG,3,40,3402301,-8168.0,1793.0,165.0
5BTG,3,40,3403301,-8168.0,1793.0,320.0
5BTG,3,40,3404301,-8168.0,1793.0,475.0
5BTG,3,40,3405301,-8168.0,1793.0,630.0
5BTG,3,40,3406301,-8168.0,1793.0,785.0
5BTG,3,40,3407301,-8168.0,1793.0,940.0
5BTG,3,40,3401311,-8308.0,1793.0,0.0
5BTG,3,40,3402311,-8308.0,1793.0,165.0
5BTG,3,40,3403311,-8308.0,1793.0,320.0
5BTG,3,40,3404311,-8308.0,1793.0,475.0
5BTG,3,40,3405311,-8308.0,1793.0,630.0
5BTG,3,40,3406311,-8308.0,1793.0,785.0
5BTG,3,40,3407311,-8308.0,1793.0,940.0
5BTG,3,40,3401321,-8448.0,1793.0,0.0
5BTG,3,40,3402321,-8448.0,1793.0,165.0
5BTG,3,40,3403321,-8448.0,1793.0,320.0
5BTG,3,40,3404321,-8448.0,1793.0,475.0
5BTG,3,40,3405321,-8448.0,1793.0,630.0
5BTG,3,40,3406321,-8448.0,1793.0,785.0
5BTG,3,40,3407321,-8448.0,1793.0,940.0
5BTG,3,40,3401331,-8588.0,1793.0,0.0
5BTG,3,40,3402331,-8588.0,1793.0,165.0
5BTG,3,40,3403331,-8588.0,1793.0,320.0
5BTG,3,40,3404331,-8588.0,1793.0,475.0
5BTG,3,40,3405331,-8588.0,1793.0,630.0
5BTG,3,40,3406331,-8588.0,1793.0,785.0
5BTG,3,40,3407331,-8588.0,1793.0,940.0
5BTG,3,40,3401341,-8728.0,1793.0,0.0
5BTG,3,40,3402341,-8728.0,1793.0,165.0
5BTG,3,40,3403341,-8728.0,1793.0,320.0
5BTG,3,40,3404341,-8728.0,1793.0,475.0
5BTG,3,40,3405341,-8728.0,1793.0,630.0
5BTG,3,40,3406341,-8728.0,1793.0,785.0
5BTG,3,40,3407341,-8728.0,1793.0,940.0
5BTG,3,40,3401351,-8868.0,1793.0,0.0
5BTG,3,40,3402351,-8868.0,1793.0,165.0
5BTG,3,40,3403351,-8868.0,1793.0,320.0
