31,3311571,UINT0000091652,69559279,{}
31,3313571,UINT0000091826,68925707,{}
31,3313571,UINT0000091828,68925707,{}
31,3313581,UINT0000091834,68925701,{}
31,3314571,UINT0000091832,68925703,{}
31,3316571,UINT0000091833,68925701,{}
31,3317021,UINT0000072720,67007010,{}
31,3317031,UINT0000077839,62768438,{}
31,3317041,UINT0000079881,68937527,{}
31,3317051,UINT0000079906,68932744,{}
31,3317061,UINT0000062152,67752694,{}
31,3317101,UINT0000074645,68932747,{}
31,3317111,UINT0000077867,62768437,{}
31,3317121,UINT0000089101,69636605,{}
31,3317161,UINT0000071655,68603202,{}
31,3317191,UINT0000088465,67007010,{}
31,3317201,UINT0000085093,62718692,{}
31,3317281,UINT0000081623,68937526,{}
31,3317291,UINT0000089877,69594358,{}
31,3317311,UINT0000080027,64367451,{}
31,3317321,UINT0000090445,69636605,{}
31,3317331,UINT0000089746,64392848,{}
31,3317341,UINT0000076003,69639542,{}
31,3317361,SYS16264251,64778351,{}
31,3317381,UINT0000088395,62692785,{}
31,3317391,UINT0000088738,62718692,{}
31,3317401,UINT0000089735,64392848,{}
31,3317451,UINT0000088750,69639625,{}
31,3317481,UINT0000088767,69639545,{}
31,3317491,UINT0000085094,64299629,{}
31,3317501,UINT0000085099,64299631,{}
31,3317511,UINT0000085107,64299635,{}
31,3317521,UINT0000085112,64299635,{}
31,3317531,UINT0000085117,64299635,{}
31,3317541,UINT0000085122,64299635,{}
31,3318361,UINT0000084620,64832020,{}
31,3318371,UINT0000084621,64832020,{}
31,3318381,UINT0000084622,64832020,{}
31,3318391,UINT0000084623,64832020,{}
31,3318401,UINT0000084624,64832020,{}
31,3318411,UINT0000084625,64832020,{}
31,3318421,UINT0000084618.,64832020,{}
31,3318431,UINT00000846180,64832020,{}
31,3318441,UINT00000846181,64832020,{}
31,3318451,UINT00000846182,64832020,{}
31,3318461,UINT00000846183,64832020,{}
31,3318471,UINT00000846184,64832020,{}
31,3318481,UINT00000846185,64832020,{}
31,3318491,UINT00000846186,64832020,{}
31,3318501,UINT00000846187,64832020,{}
31,3318511,UINT00000846188,64832020,{}
31,3318521,UINT00000846189,64832020,{}
31,3318531,UINT00000846190,64832020,{}
31,3318541,UINT00000846191,64832020,{}
