warehouse,floor_no,rack_no,location_id,x,y,z
5BTG,3,35,3351522,-9512.0,3653.0,0.0
5BTG,3,35,3351531,-9652.0,3518.0,0.0
5BTG,3,35,3351532,-9652.0,3653.0,0.0
5BTG,3,35,3351541,-9792.0,3518.0,0.0
5BTG,3,35,3351542,-9792.0,3653.0,0.0
5BTG,3,35,3351551,-9932.0,3518.0,0.0
5BTG,3,35,3351552,-9932.0,3653.0,0.0
5BTG,3,35,3351561,-10072.0,3518.0,0.0
5BTG,3,35,3351562,-10072.0,3653.0,0.0
5BTG,3,35,3351571,-10212.0,3518.0,0.0
5BTG,3,35,3351572,-10212.0,3653.0,0.0
5BTG,3,35,3351581,-10352.0,3518.0,0.0
5BTG,3,35,3351582,-10352.0,3653.0,0.0
5BTG,3,35,3352031,-2652.0,3518.0,220.0
5BTG,3,35,3352032,-2652.0,3653.0,220.0
5BTG,3,35,3352041,-2792.0,3518.0,220.0
5BTG,3,35,3352042,-2792.0,3653.0,220.0
5BTG,3,35,3352051,-2932.0,3518.0,220.0
5BTG,3,35,3352052,-2932.0,3653.0,220.0
5BTG,3,35,3352061,-3072.0,3518.0,220.0
5BTG,3,35,3352062,-3072.0,3653.0,220.0
5BTG,3,35,3352071,-3212.0,3518.0,220.0
5BTG,3,35,3352072,-3212.0,3653.0,220.0
5BTG,3,35,3352081,-3352.0,3518.0,220.0
5BTG,3,35,3352082,-3352.0,3653.0,220.0
5BTG,3,35,3352091,-3492.0,3518.0,220.0
5BTG,3,35,3352092,-3492.0,3653.0,220.0
5BTG,3,35,3352101,-3632.0,3518.0,220.0
5BTG,3,35,3352102,-3632.0,3653.0,220.0
5BTG,3,35,3352111,-3772.0,3518.0,220.0
5BTG,3,35,3352112,-3772.0,3653.0,220.0
5BTG,3,35,3352121,-3912.0,3518.0,220.0
5BTG,3,35,3352122,-3912.0,3653.0,220.0
5BTG,3,35,3352131,-4052.0,3518.0,220.0
5BTG,3,35,3352132,-4052.0,3653.0,220.0
5BTG,3,35,3352141,-4192.0,3518.0,220.0
5BTG,3,35,3352142,-4192.0,3653.0,220.0
5BTG,3,35,3352151,-4332.0,3518.0,220.0
5BTG,3,35,3352152,-4332.0,3653.0,220.0
5BTG,3,35,3352161,-4472.0,3518.0,220.0
5BTG,3,35,3352162,-4472.0,3653.0,220.0
5BTG,3,35,3352171,-4612.0,3518.0,220.0
5BTG,3,35,3352172,-4612.0,3653.0,220.0
5BTG,3,35,3352181,-4752.0,3518.0,220.0
5BTG,3,35,3352182,-4752.0,3653.0,220.0
5BTG,3,35,3352191,-4892.0,3518.0,220.0
5BTG,3,35,3352192,-4892.0,3653.0,220.0
5BTG,3,35,3352201,-5032.0,3518.0,220.0
5BTG,3,35,3352202,-5032.0,3653.0,220.0
5BTG,3,35,3352211,-5172.0,3518.0,220.0
5BTG,3,35,3352212,-5172.0,3653.0,220.0
5BTG,3,35,3352221,-5312.0,3518.0,220.0
5BTG,3,35,3352222,-5312.0,3653.0,220.0
5BTG,3,35,3352231,-5452.0,3518.0,220.0
5BTG,3,35,3352232,-5452.0,3653.0,220.0
5BTG,3,35,3352241,-5592.0,3518.0,220.0
5BTG,3,35,3352242,-5592.0,3653.0,220.0
5BTG,3,35,3352251,-5732.0,3518.0,220.0
5BTG,3,35,3352252,-5732.0,3653.0,220.0
5BTG,3,35,3352261,-5872.0,3518.0,220.0
5BTG,3,35,3352262,-5872.0,3653.0,220.0
5BTG,3,35,3352271,-6012.0,3518.0,220.0
5BTG,3,35,3352272,-6012.0,3653.0,220.0
5BTG,3,35,3352281,-6152.0,3518.0,220.0
5BTG,3,35,3352282,-6152.0,3653.0,220.0
5BTG,3,35,3352291,-6292.0,3518.0,220.0
5BTG,3,35,3352292,-6292.0,3653.0,220.0
5BTG,3,35,3352301,-6432.0,3518.0,220.0
5BTG,3,35,3352302,-6432.0,3653.0,220.0
5BTG,3,35,3352311,-6572.0,3518.0,220.0
5BTG,3,35,3352312,-6572.0,3653.0,220.0
5BTG,3,35,3352321,-6712.0,3518.0,220.0
5BTG,3,35,3352322,-6712.0,3653.0,220.0
5BTG,3,35,3352331,-6852.0,3518.0,220.0
5BTG,3,35,3352332,-6852.0,3653.0,220.0
5BTG,3,35,3352341,-6992.0,3518.0,220.0
5BTG,3,35,3352342,-6992.0,3653.0,220.0
5BTG,3,35,3352351,-7132.0,3518.0,220.0
5BTG,3,35,3352352,-7132.0,3653.0,220.0
5BTG,3,35,3352361,-7272.0,3518.0,220.0
5BTG,3,35,3352362,-7272.0,3653.0,220.0
5BTG,3,35,3352371,-7412.0,3518.0,220.0
5BTG,3,35,3352372,-7412.0,3653.0,220.0
5BTG,3,35,3352381,-7552.0,3518.0,220.0
5BTG,3,35,3352382,-7552.0,3653.0,220.0
5BTG,3,35,3352391,-7692.0,3518.0,220.0
5BTG,3,35,3352392,-7692.0,3653.0,220.0
5BTG,3,35,3352401,-7832.0,3518.0,220.0
5BTG,3,35,3352402,-7832.0,3653.0,220.0
5BTG,3,35,3352411,-7972.0,3518.0,220.0
5BTG,3,35,3352412,-7972.0,3653.0,220.0
5BTG,3,35,3352421,-8112.0,3518.0,220.0
5BTG,3,35,3352422,-8112.0,3653.0,220.0
5BTG,3,35,3352431,-8252.0,3518.0,220.0
5BTG,3,35,3352432,-8252.0,3653.0,220.0
5BTG,3,35,3352441,-8392.0,3518.0,220.0
5BTG,3,35,3352442,-8392.0,3653.0,220.0
5BTG,3,35,3352451,-8532.0,3518.0,220.0
5BTG,3,35,3352452,-8532.0,3653.0,220.0
5BTG,3,35,3352461,-8672.0,3518.0,220.0
5BTG,3,35,3352462,-8672.0,3653.0,220.0
5BTG,3,35,3352471,-8812.0,3518.0,220.0
5BTG,3,35,3352472,-8812.0,3653.0,220.0
5BTG,3,35,3352481,-8952.0,3518.0,220.0
5BTG,3,35,3352482,-8952.0,3653.0,220.0
5BTG,3,35,3352491,-9092.0,3518.0,220.0
5BTG,3,35,3352492,-9092.0,3653.0,220.0
5BTG,3,35,3352501,-9232.0,3518.0,220.0
5BTG,3,35,3352502,-9232.0,3653.0,220.0
5BTG,3,35,3352511,-9372.0,3518.0,220.0
5BTG,3,35,3352512,-9372.0,3653.0,220.0
5BTG,3,35,3352521,-9512.0,3518.0,220.0
5BTG,3,35,3352522,-9512.0,3653.0,220.0
5BTG,3,35,3352531,-9652.0,3518.0,220.0
5BTG,3,35,3352532,-9652.0,3653.0,220.0
5BTG,3,35,3352541,-9792.0,3518.0,220.0
5BTG,3,35,3352542,-9792.0,3653.0,220.0
5BTG,3,35,3352551,-9932.0,3518.0,220.0
5BTG,3,35,3352552,-9932.0,3653.0,220.0
5BTG,3,35,3352561,-10072.0,3518.0,220.0
5BTG,3,35,3352562,-10072.0,3653.0,220.0
5BTG,3,35,3352571,-10212.0,3518.0,220.0
5BTG,3,35,3352572,-10212.0,3653.0,220.0
5BTG,3,35,3352581,-10352.0,3518.0,220.0
5BTG,3,35,3352582,-10352.0,3653.0,220.0
5BTG,3,35,3353031,-2652.0,3518.0,395.0
5BTG,3,35,3353032,-2652.0,3653.0,395.0
5BTG,3,35,3353041,-2792.0,3518.0,395.0
5BTG,3,35,3353042,-2792.0,3653.0,395.0
5BTG,3,35,3353051,-2932.0,3518.0,395.0
5BTG,3,35,3353052,-2932.0,3653.0,395.0
5BTG,3,35,3353061,-3072.0,3518.0,395.0
5BTG,3,35,3353062,-3072.0,3653.0,395.0
5BTG,3,35,3353071,-3212.0,3518.0,395.0
5BTG,3,35,3353072,-3212.0,3653.0,395.0
5BTG,3,35,3353081,-3352.0,3518.0,395.0
5BTG,3,35,3353082,-3352.0,3653.0,395.0
5BTG,3,35,3353091,-3492.0,3518.0,395.0
5BTG,3,35,3353092,-3492.0,3653.0,395.0
5BTG,3,35,3353101,-3632.0,3518.0,395.0
5BTG,3,35,3353102,-3632.0,3653.0,395.0
5BTG,3,35,3353111,-3772.0,3518.0,395.0
5BTG,3,35,3353112,-3772.0,3653.0,395.0
5BTG,3,35,3353121,-3912.0,3518.0,395.0
5BTG,3,35,3353122,-3912.0,3653.0,395.0
5BTG,3,35,3353131,-4052.0,3518.0,395.0
5BTG,3,35,3353132,-4052.0,3653.0,395.0
5BTG,3,35,3353141,-4192.0,3518.0,395.0
5BTG,3,35,3353142,-4192.0,3653.0,395.0
5BTG,3,35,3353151,-4332.0,3518.0,395.0
5BTG,3,35,3353152,-4332.0,3653.0,395.0
5BTG,3,35,3353161,-4472.0,3518.0,395.0
5BTG,3,35,3353162,-4472.0,3653.0,395.0
5BTG,3,35,3353171,-4612.0,3518.0,395.0
5BTG,3,35,3353172,-4612.0,3653.0,395.0
5BTG,3,35,3353181,-4752.0,3518.0,395.0
5BTG,3,35,3353182,-4752.0,3653.0,395.0
5BTG,3,35,3353191,-4892.0,3518.0,395.0
