rack_no,pallet_id,location_id,stock_status_code
36,UINT0000088466,3365051,NE
36,UINT0000068552,3365581,NE
37,SYS16291299,3371058S,NE
37,SYS16267461,3371067S,NE
37,SYS16267135,3371079S,NE
37,SYS16295569,3372013S,NE
37,SYS16264958,3372034S,NE
37,SYS16264960,3372034S,NE
37,SYS16267171,3372098S,NE
37,SYS16301551,3373027S,NE
37,SYS16264987,3373034S,NE
37,SYS16266343,3374054S,NE
37,SYS16262969,3374141,NE
37,SYS16267242,3375002S,NE
37,SYS16269626,3375151,NE
37,SYS16269645,3375151,NE
37,SYS16247000,3376311,NE
37,SYS16265129,3377011,NE
37,SYS16118029,3378031,NE
38,SYS16156418,3381061,NE
38,SYS16266355,3381262,NE
38,SYS16266420,3381262,NE
38,SYS16267112,3381262,NE
38,SYS16269644,3381262,NE
38,SYS16264991,3381271,NE
38,SYS16267105,3381271,NE
38,SYS16280765,3381271,NE
38,SYS16117921,3381272,NE
38,SYS16264871,3381272,NE
38,SYS16264872,3381272,NE
38,SYS16266342,3381272,NE
38,SYS16266435,3381272,NE
38,SYS16267168,3381272,NE
38,SYS16267956,3381272,NE
38,SYS16268061,3381272,NE
38,SYS16298975,3381272,NE
38,SYS16265126,3381281,NE
38,SYS16118932,3381282,NE
38,SYS16265128,3381282,NE
38,SYS16304518,3381411,DMG
38,SYS16305489,3381411,DMG
38,SYS16307498,3381411,DMG
38,SYS16307696,3381411,DMG
38,UINT0000090026,3382061,QAF
38,UINT0000090022.,3383061,QAF
38,UINT0000090022..,3384061,QAF
38,UINT0000090000,3385061,QAF
39,UINT0000080256A,3391031,NE
39,UINT0000091276,3391181,NE
39,UINT0000091277,3391381,NE
39,UINT0000091278,3391421,NE
39,UINT0000090328,3392271,NE
